"","X","MES","CONGLOME.x","VIVIENDA.x","HOGAR.x","CODPERSO.x","UBIGEO.x","DOMINIO","ESTRATO.x","CODINFOR.x","P300A","P301A","P207","P507","P513T","P524A1","CONGLOME.y","VIVIENDA.y","HOGAR.y","CODPERSO.y","UBIGEO.y","DOMINIO.y","ESTRATO.y","CODINFOR.y","P401H1","P401H2","P401H3","P401H4","P401H5","P401H6"
"11",11,51027511310701776,5102,75,11,3,10701,"SE",7,3,"Castellano","Superior no universitaria completa","Hombre",4,48,180,5102,75,11,3,10701,7,7,3,2,2,2,2,2,2
"12",12,51382511210513472,5138,25,11,2,10513,"SN",7,2,"Castellano","Primaria completa","Mujer",4,18,200,5138,25,11,2,10513,4,7,2,2,2,2,2,2,2
"13",13,513811111110513472,5138,111,11,1,10513,"SN",7,1,"Castellano","Maestria/Doctorado","Hombre",3,20,2500,5138,111,11,1,10513,4,7,1,2,2,2,2,2,2
"14",14,513812011810513472,5138,120,11,8,10513,"SN",7,8,"Castellano","Primaria incompleta","Hombre",4,46,150,5138,120,11,8,10513,4,7,8,2,2,2,2,2,2
"15",15,5186511121801221,5186,5,11,1,21801,"CC",2,1,"Castellano","Maestria/Doctorado","Hombre",4,40,400,5186,5,11,1,21801,2,2,1,2,2,2,2,2,2
"16",16,51862811221801224,5186,28,11,2,21801,"CC",2,2,"Castellano","Secundaria completa","Mujer",6,48,60,5186,28,11,2,21801,2,2,2,2,2,2,2,2,2
"17",17,51862811321801224,5186,28,11,3,21801,"CC",2,3,"Castellano","Secundaria incompleta","Hombre",4,30,120,5186,28,11,3,21801,2,2,3,2,2,2,2,2,2
"18",18,51866212121801224,5186,62,12,1,21801,"CC",2,1,"Castellano","Superior no universitaria completa","Mujer",3,38,2150,5186,62,12,1,21801,2,2,1,2,2,2,2,2,2
"19",19,51866212221801224,5186,62,12,2,21801,"CC",2,2,"Castellano","Maestria/Doctorado","Hombre",3,20,1130,5186,62,12,2,21801,2,2,2,2,2,2,2,2,2
"20",20,51866222121801224,5186,62,22,1,21801,"CC",2,1,"Castellano","Secundaria completa","Mujer",3,40,1700,5186,62,22,1,21801,2,2,1,2,2,2,2,2,2
"21",21,51867311621801224,5186,73,11,6,21801,"CC",2,6,"Castellano","Secundaria completa","Mujer",3,42,150,5186,73,11,6,21801,2,2,6,2,2,2,2,2,2
"22",22,52124911121809224,5212,49,11,1,21809,"CC",2,1,"Castellano","Secundaria completa","Hombre",4,70,1750,5212,49,11,1,21809,2,2,1,2,2,2,2,2,2
"23",23,521210111121809216,5212,101,11,1,21809,"CC",2,1,"Castellano","Superior no universitaria Incompleta","Mujer",4,48,680,5212,101,11,1,21809,2,2,1,2,2,2,2,2,2
"24",24,521210111221809216,5212,101,11,2,21809,"CC",2,2,"Castellano","Maestria/Doctorado","Hombre",3,46,1400,5212,101,11,2,21809,2,2,2,2,2,2,2,2,2
"25",25,521211311321809216,5212,113,11,3,21809,"CC",2,3,"Castellano","Superior universitaria completa","Mujer",3,15,2000,5212,113,11,3,21809,2,2,3,2,2,2,2,2,2
"26",26,52351011121501560,5235,10,11,1,21501,"SC",6,1,"Castellano","Primaria incompleta","Hombre",4,48,400,5235,10,11,1,21501,5,6,1,2,2,2,2,2,2
"27",27,52354911221501560,5235,49,11,2,21501,"SC",6,2,"Castellano","Primaria incompleta","Mujer",4,42,550,5235,49,11,2,21501,5,6,2,2,2,2,2,2,2
"28",28,52354911721501568,5235,49,11,7,21501,"SC",6,7,"Castellano","Secundaria incompleta","Mujer",4,36,570,5235,49,11,7,21501,5,6,7,2,2,2,2,2,2
"29",29,52356211221501560,5235,62,11,2,21501,"SC",6,2,"Castellano","Maestria/Doctorado","Hombre",3,40,2000,5235,62,11,2,21501,5,6,2,2,2,2,2,2,2
"30",30,52441111320105536,5244,11,11,3,20105,"SC",3,3,"Castellano","Maestria/Doctorado","Mujer",3,0,1720,5244,11,11,3,20105,5,3,3,2,2,2,2,2,2
"31",31,52442511120105528,5244,25,11,1,20105,"SC",3,1,"Castellano","Primaria completa","Hombre",3,45,1500,5244,25,11,1,20105,5,3,1,2,2,2,2,2,2
"32",32,52442511320105536,5244,25,11,3,20105,"SC",3,3,"Castellano","Superior no universitaria completa","Hombre",3,23,2288,5244,25,11,3,20105,5,3,3,2,2,2,2,2,2
"33",33,52443911120105528,5244,39,11,1,20105,"SC",3,1,"Quechua","Primaria completa","Hombre",4,48,3500,5244,39,11,1,20105,5,3,1,2,2,2,2,2,2
"34",34,52573611120101528,5257,36,11,1,20101,"SC",3,1,"Castellano","Superior universitaria completa","Hombre",3,0,2000,5257,36,11,1,20101,5,3,1,2,2,2,2,2,2
"35",35,52573611220101536,5257,36,11,2,20101,"SC",3,2,"Castellano","Superior universitaria completa","Mujer",3,0,1050,5257,36,11,2,20101,5,3,2,2,2,2,2,2,2
"36",36,52576911120101528,5257,69,11,1,20101,"SC",3,1,"Castellano","Maestria/Doctorado","Hombre",3,0,2000,5257,69,11,1,20101,5,3,1,2,2,2,2,2,2
"37",37,52576911220101536,5257,69,11,2,20101,"SC",3,2,"Castellano","Maestria/Doctorado","Mujer",3,43,3300,5257,69,11,2,20101,5,3,2,2,2,2,2,2,2
"38",38,52576911420101536,5257,69,11,4,20101,"SC",3,4,"Castellano","Maestria/Doctorado","Hombre",3,60,3130,5257,69,11,4,20101,5,3,4,2,2,2,2,2,2
"39",39,52577911220101536,5257,79,11,2,20101,"SC",3,2,"Quechua","Secundaria completa","Hombre",3,48,550,5257,79,11,2,20101,5,3,2,2,2,2,2,2,2
"40",40,54802811140104608,5480,28,11,1,40104,"SS",1,1,"Quechua","Secundaria incompleta","Hombre",4,45,1000,5480,28,11,1,40104,6,1,1,2,2,2,2,2,2
"41",41,5511711240103612,5511,7,11,2,40103,"SS",1,2,"Castellano","Superior no universitaria completa","Hombre",3,10,900,5511,7,11,2,40103,6,1,2,2,2,2,2,2,2
"42",42,5511711340103613,5511,7,11,3,40103,"SS",1,3,"Castellano","Superior no universitaria Incompleta","Hombre",4,48,996,5511,7,11,3,40103,6,1,3,2,2,2,2,2,2
"43",43,5511711440103614,5511,7,11,4,40103,"SS",1,4,"Castellano","Secundaria completa","Hombre",4,14,120,5511,7,11,4,40103,6,1,4,2,2,2,2,2,2
"44",44,55118911240103616,5511,89,11,2,40103,"SS",1,2,"Quechua","Secundaria completa","Mujer",4,24,180,5511,89,11,2,40103,6,1,2,2,2,2,2,2,2
"45",45,551112211340103616,5511,122,11,3,40103,"SS",1,3,"Castellano","Secundaria completa","Hombre",4,49,420,5511,122,11,3,40103,6,1,3,2,2,2,2,2,2
"46",46,551112211440103616,5511,122,11,4,40103,"SS",1,4,"Castellano","Secundaria completa","Hombre",4,14,75,5511,122,11,4,40103,6,1,4,2,2,2,2,2,2
"47",47,55181822240102608,5518,18,22,2,40102,"SS",1,1,"Castellano","Secundaria completa","Hombre",4,96,1700,5518,18,22,2,40102,6,1,1,2,2,2,2,2,2
"48",48,55185211140102608,5518,52,11,1,40102,"SS",1,1,"Castellano","Superior no universitaria completa","Mujer",3,36,2300,5518,52,11,1,40102,6,1,1,2,2,2,2,2,2
"49",49,55188411340102616,5518,84,11,3,40102,"SS",1,3,"Castellano","Secundaria completa","Hombre",3,58,210,5518,84,11,3,40102,6,1,3,2,2,2,2,2,2
"50",50,551810011340102592,5518,100,11,3,40102,"SS",1,3,"Castellano","Maestria/Doctorado","Mujer",3,87,950,5518,100,11,3,40102,6,1,3,2,2,2,2,2,2
"51",51,551811811240102592,5518,118,11,2,40102,"SS",1,2,"Castellano","Superior no universitaria completa","Mujer",3,18,900,5518,118,11,2,40102,6,1,2,2,2,2,2,2,2
"52",52,551811811440102592,5518,118,11,4,40102,"SS",1,4,"Aimara","Primaria completa","Mujer",6,63,1500,5518,118,11,4,40102,6,1,4,2,2,2,2,2,2
"53",53,555914011140129600,5559,140,11,1,40129,"SS",1,2,"Castellano","Básica especial","Hombre",3,46,4800,5559,140,11,1,40129,6,1,2,2,2,2,2,2,2
"54",54,555914011240129600,5559,140,11,2,40129,"SS",1,2,"Castellano","Básica especial","Mujer",3,45,3000,5559,140,11,2,40129,6,1,2,2,2,2,2,2,2
"55",55,555917111140129600,5559,171,11,1,40129,"SS",1,1,"Castellano","Maestria/Doctorado","Mujer",3,48,930,5559,171,11,1,40129,6,1,1,2,2,2,2,2,2
"56",56,555917111240129600,5559,171,11,2,40129,"SS",1,1,"Castellano","Superior universitaria completa","Hombre",4,0,2800,5559,171,11,2,40129,6,1,1,2,2,2,2,2,2
"57",57,555920211140129600,5559,202,11,1,40129,"SS",1,1,"Castellano","Maestria/Doctorado","Hombre",3,40,4100,5559,202,11,1,40129,6,1,1,2,2,2,2,2,2
"58",58,555920211240129600,5559,202,11,2,40129,"SS",1,2,"Castellano","Básica especial","Mujer",3,40,6000,5559,202,11,2,40129,6,1,2,2,2,2,2,2,2
"59",59,555923211140129600,5559,232,11,1,40129,"SS",1,1,"Castellano","Básica especial","Hombre",3,0,6000,5559,232,11,1,40129,6,1,1,2,2,2,2,2,2
"60",60,555923211240129600,5559,232,11,2,40129,"SS",1,2,"Castellano","Básica especial","Mujer",3,0,6000,5559,232,11,2,40129,6,1,2,2,2,2,2,2,2
"61",61,555923211340129600,5559,232,11,3,40129,"SS",1,3,"Castellano","Superior universitaria completa","Hombre",3,30,930,5559,232,11,3,40129,6,1,3,2,2,2,2,2,2
"62",62,55701011240122608,5570,10,11,2,40122,"SS",1,2,"Castellano","Secundaria completa","Hombre",3,0,1400,5570,10,11,2,40122,6,1,2,2,2,2,2,2,2
"63",63,55911811140413352,5591,18,11,1,40413,"CS",5,1,"Quechua","Secundaria completa","Hombre",4,48,362,5591,18,11,1,40413,3,5,1,2,2,2,2,2,2
"64",64,559110011340413376,5591,100,11,3,40413,"CS",5,3,"Castellano","Secundaria completa","Hombre",4,45,420,5591,100,11,3,40413,3,5,3,2,2,2,2,2,2
"65",65,559110011540413376,5591,100,11,5,40413,"CS",5,5,"Castellano","Secundaria completa","Mujer",4,24,180,5591,100,11,5,40413,3,5,5,2,2,2,2,2,2
"66",66,559110011740413376,5591,100,11,7,40413,"CS",5,7,"Castellano","Secundaria incompleta","Hombre",4,24,180,5591,100,11,7,40413,3,5,7,2,2,2,2,2,2
"67",67,56391511140704352,5639,15,11,1,40704,"CS",5,1,"Castellano","Secundaria completa","Hombre",3,0,650,5639,15,11,1,40704,3,5,1,2,2,2,2,2,2
"68",68,56395411440704352,5639,54,11,4,40704,"CS",5,3,"Castellano","Secundaria completa","Hombre",3,72,1200,5639,54,11,4,40704,3,5,3,2,2,2,2,2,2
"69",69,56396511440704352,5639,65,11,4,40704,"CS",5,4,"Castellano","Secundaria completa","Hombre",3,48,1000,5639,65,11,4,40704,3,5,4,2,2,2,2,2,2
"70",70,56794611240108384,5679,46,11,2,40108,"CS",8,2,"Castellano","Secundaria completa","Mujer",4,56,500,5679,46,11,2,40108,3,8,2,2,2,2,2,2,2
"71",71,56794611340108384,5679,46,11,3,40108,"CS",8,3,"Castellano","Secundaria incompleta","Hombre",4,10,60,5679,46,11,3,40108,3,8,3,2,2,2,2,2,2
"72",72,567911611140108352,5679,116,11,1,40108,"CS",8,1,"Quechua","Primaria completa","Hombre",4,7,1121,5679,116,11,1,40108,3,8,1,2,2,2,2,2,2
"73",73,567911611340108352,5679,116,11,3,40108,"CS",8,3,"Castellano","Superior no universitaria completa","Mujer",3,6,400,5679,116,11,3,40108,3,8,3,2,2,2,2,2,2
"74",74,567912011240108352,5679,120,11,2,40108,"CS",8,2,"Quechua","Primaria completa","Mujer",4,48,1080,5679,120,11,2,40108,3,8,2,2,2,2,2,2,2
"75",75,567912011340108352,5679,120,11,3,40108,"CS",8,3,"Castellano","Superior no universitaria Incompleta","Hombre",4,32,300,5679,120,11,3,40108,3,8,3,2,2,2,2,2,2
"76",76,567912011440108416,5679,120,11,4,40108,"CS",8,4,"Castellano","Secundaria incompleta","Hombre",4,8,70,5679,120,11,4,40108,3,8,4,2,2,2,2,2,2
"77",77,5692711350101523,5692,7,11,3,50101,"SC",2,3,"Castellano","Superior no universitaria Incompleta","Mujer",3,42,500,5692,7,11,3,50101,5,2,3,2,2,2,2,2,2
"78",78,56922311150101520,5692,23,11,1,50101,"SC",2,1,"Castellano","Secundaria incompleta","Hombre",4,50,350,5692,23,11,1,50101,5,2,1,2,2,2,2,2,2
"79",79,56922311250101520,5692,23,11,2,50101,"SC",2,2,"Castellano","Superior no universitaria Incompleta","Mujer",6,30,600,5692,23,11,2,50101,5,2,2,2,2,2,2,2,2
"80",80,56925311150101520,5692,53,11,1,50101,"SC",2,1,"Quechua","Secundaria incompleta","Hombre",4,45,400,5692,53,11,1,50101,5,2,1,2,2,2,2,2,2
"81",81,56925311350101520,5692,53,11,3,50101,"SC",2,3,"Castellano","Secundaria incompleta","Hombre",4,18,90,5692,53,11,3,50101,5,2,3,2,2,2,2,2,2
"82",82,56928011450101520,5692,80,11,4,50101,"SC",2,4,"Castellano","Superior universitaria completa","Mujer",4,12,450,5692,80,11,4,50101,5,2,4,2,2,2,2,2,2
"83",83,56929711150101520,5692,97,11,1,50101,"SC",2,1,"Quechua","Maestria/Doctorado","Hombre",3,16,2700,5692,97,11,1,50101,5,2,1,2,2,2,2,2,2
"84",84,57785311250509776,5778,53,11,2,50509,"SE",7,2,"Quechua","Secundaria completa","Mujer",4,19,90,5778,53,11,2,50509,7,7,2,2,2,2,2,2,2
"85",85,57785311350509776,5778,53,11,3,50509,"SE",7,2,"Castellano","Secundaria incompleta","Mujer",4,19,75,5778,53,11,3,50509,7,7,2,2,2,2,2,2,2
"86",86,57785611250509776,5778,56,11,2,50509,"SE",7,2,"Castellano","Secundaria incompleta","Hombre",4,35,120,5778,56,11,2,50509,7,7,2,2,2,2,2,2,2
"87",87,57785611350509768,5778,56,11,3,50509,"SE",7,1,"Castellano","Secundaria incompleta","Mujer",4,32,120,5778,56,11,3,50509,7,7,1,2,2,2,2,2,2
"88",88,577813711250509824,5778,137,11,2,50509,"SE",7,2,"Quechua","Secundaria incompleta","Mujer",4,43,240,5778,137,11,2,50509,7,7,2,2,2,2,2,2,2
"89",89,58605111160101424,5860,51,11,1,60101,"SN",2,1,"Castellano","Básica especial","Hombre",3,0,2873,5860,51,11,1,60101,4,2,1,2,2,2,2,2,2
"90",90,58605111260101424,5860,51,11,2,60101,"SN",2,2,"Castellano","Básica especial","Mujer",3,40,2000,5860,51,11,2,60101,4,2,2,2,2,2,2,2,2
"91",91,58605111360101424,5860,51,11,3,60101,"SN",2,3,"Castellano","Maestria/Doctorado","Hombre",3,32,3000,5860,51,11,3,60101,4,2,3,2,2,2,2,2,2
"92",92,5893611260401452,5893,6,11,2,60401,"SN",5,2,"Castellano","Superior no universitaria completa","Mujer",3,48,2300,5893,6,11,2,60401,4,5,2,2,2,2,2,2,2
"93",93,5893611460401454,5893,6,11,4,60401,"SN",5,4,"Castellano","Maestria/Doctorado","Mujer",3,48,4800,5893,6,11,4,60401,4,5,4,2,2,2,2,2,2
"94",94,58932711160401448,5893,27,11,1,60401,"SN",5,1,"Castellano","Secundaria completa","Hombre",4,48,180,5893,27,11,1,60401,4,5,1,2,2,2,2,2,2
"95",95,58935111260401456,5893,51,11,2,60401,"SN",5,2,"Castellano","Superior universitaria completa","Mujer",3,48,1500,5893,51,11,2,60401,4,5,2,2,2,2,2,2,2
"96",96,58937111260401456,5893,71,11,2,60401,"SN",5,2,"Castellano","Secundaria incompleta","Mujer",3,49,300,5893,71,11,2,60401,4,5,2,2,2,2,2,2,2
"97",97,594012911361308416,5940,129,11,3,61308,"SN",7,3,"Castellano","Secundaria incompleta","Hombre",4,32,100,5940,129,11,3,61308,4,7,3,2,2,2,2,2,2
"98",98,594024311361308416,5940,243,11,3,61308,"SN",7,3,"Castellano","Secundaria incompleta","Hombre",3,62,50,5940,243,11,3,61308,4,7,3,2,2,2,2,2,2
"99",99,59442611160411472,5944,26,11,1,60411,"SN",7,1,"Castellano","Primaria completa","Hombre",4,24,75,5944,26,11,1,60411,4,7,1,2,2,2,2,2,2
"100",100,59442711160411472,5944,27,11,1,60411,"SN",7,1,"Castellano","Primaria completa","Hombre",4,48,120,5944,27,11,1,60411,4,7,1,2,2,2,2,2,2
"101",101,59442711260411472,5944,27,11,2,60411,"SN",7,2,"Castellano","Primaria completa","Mujer",4,18,60,5944,27,11,2,60411,4,7,2,2,2,2,2,2,2
"102",102,59527511360405784,5952,75,11,3,60405,"SE",8,3,"Castellano","Primaria incompleta","Hombre",4,48,150,5952,75,11,3,60405,7,8,3,2,2,2,2,2,2
"103",103,59786411261104472,5978,64,11,2,61104,"SN",7,2,"Castellano","Primaria completa","Mujer",4,14,60,5978,64,11,2,61104,4,7,2,2,2,2,2,2,2
"104",104,59786411461104472,5978,64,11,4,61104,"SN",7,4,"Castellano","Secundaria incompleta","Hombre",4,7,130,5978,64,11,4,61104,4,7,4,2,2,2,2,2,2
"105",105,60264311170106808,6026,43,11,1,70106,"LM",1,1,"Quechua","Superior no universitaria completa","Hombre",3,0,1500,6026,43,11,1,70106,8,1,1,2,2,2,2,2,2
"106",106,60267011270106816,6026,70,11,2,70106,"LM",1,2,"Castellano","Superior no universitaria completa","Mujer",4,40,400,6026,70,11,2,70106,8,1,2,2,2,2,2,2,2
"107",107,60268411170106808,6026,84,11,1,70106,"LM",1,1,"Castellano","Secundaria completa","Hombre",4,10,1300,6026,84,11,1,70106,8,1,1,2,2,2,2,2,2
"108",108,60268411270106808,6026,84,11,2,70106,"LM",1,1,"Castellano","Secundaria incompleta","Mujer",3,36,600,6026,84,11,2,70106,8,1,1,2,2,2,2,2,2
"109",109,60268411370106808,6026,84,11,3,70106,"LM",1,1,"Castellano","Secundaria incompleta","Mujer",4,18,60,6026,84,11,3,70106,8,1,1,2,2,2,2,2,2
"110",110,60325711270106816,6032,57,11,2,70106,"LM",1,2,"Castellano","Secundaria completa","Mujer",3,70,950,6032,57,11,2,70106,8,1,2,2,2,2,2,2,2
"111",111,60328711170106816,6032,87,11,1,70106,"LM",1,2,"Castellano","Secundaria completa","Hombre",4,60,300,6032,87,11,1,70106,8,1,2,2,2,2,2,2,2
"112",112,60328711470106816,6032,87,11,4,70106,"LM",1,4,"Castellano","Superior no universitaria Incompleta","Hombre",3,56,950,6032,87,11,4,70106,8,1,2,2,2,2,2,2,2
"113",113,603210211170106752,6032,102,11,1,70106,"LM",1,1,"Quechua","Superior no universitaria completa","Hombre",4,36,90,6032,102,11,1,70106,8,1,1,2,2,2,2,2,2
"114",114,603210211370106752,6032,102,11,3,70106,"LM",1,1,"Quechua","Primaria completa","Hombre",4,24,90,6032,102,11,3,70106,8,1,1,2,2,2,2,2,2
"115",115,60923511170102808,6092,35,11,1,70102,"LM",1,1,"Castellano","Superior no universitaria completa","Hombre",3,48,800,6092,35,11,1,70102,8,1,1,2,2,2,2,2,2
"116",116,60927811470102816,6092,78,11,4,70102,"LM",1,4,"Castellano","Secundaria completa","Mujer",4,56,210,6092,78,11,4,70102,8,1,4,2,2,2,2,2,2
"117",117,609210011170102784,6092,100,11,1,70102,"LM",1,1,"Castellano","Superior no universitaria completa","Hombre",3,40,4000,6092,100,11,1,70102,8,1,1,2,2,2,2,2,2
"118",118,609212311270102784,6092,123,11,2,70102,"LM",1,2,"Castellano","Superior no universitaria completa","Mujer",3,48,700,6092,123,11,2,70102,8,1,2,2,2,2,2,2,2
"119",119,609212311570102784,6092,123,11,5,70102,"LM",1,5,"Castellano","Superior universitaria completa","Mujer",6,6,60,6092,123,11,5,70102,8,1,5,2,2,2,2,2,2
"120",120,609223211570102784,6092,232,11,5,70102,"LM",1,1,"Castellano","Maestria/Doctorado","Mujer",3,48,2400,6092,232,11,5,70102,8,1,1,2,2,2,2,2,2
"121",121,609223211670102784,6092,232,11,6,70102,"LM",1,1,"Castellano","Maestria/Doctorado","Hombre",3,48,950,6092,232,11,6,70102,8,1,1,2,2,2,2,2,2
"122",122,609223211970102784,6092,232,11,9,70102,"LM",1,1,"Castellano","Secundaria completa","Hombre",3,24,300,6092,232,11,9,70102,8,1,1,2,2,2,2,2,2
"123",123,61932911180105624,6193,29,11,1,80105,"SS",2,1,"Quechua","Maestria/Doctorado","Hombre",3,0,2600,6193,29,11,1,80105,6,2,1,2,2,2,2,2,2
"124",124,61932911280105624,6193,29,11,2,80105,"SS",2,1,"Quechua","Maestria/Doctorado","Mujer",3,48,4000,6193,29,11,2,80105,6,2,1,2,2,2,2,2,2
"125",125,61958111180105624,6195,81,11,1,80105,"SS",2,1,"Castellano","Superior no universitaria completa","Hombre",4,50,1050,6195,81,11,1,80105,6,2,1,2,2,2,2,2,2
"126",126,61958111280105624,6195,81,11,2,80105,"SS",2,2,"Castellano","Superior no universitaria completa","Hombre",3,50,1600,6195,81,11,2,80105,6,2,2,2,2,2,2,2,2
"127",127,6255111280801642,6255,1,11,2,80801,"SS",4,2,"Quechua","Superior no universitaria completa","Mujer",3,48,1700,6255,1,11,2,80801,6,4,2,2,2,2,2,2,2
"128",128,62553911280801640,6255,39,11,2,80801,"SS",4,2,"Quechua","Secundaria incompleta","Hombre",4,56,2500,6255,39,11,2,80801,6,4,2,2,2,2,2,2,2
"129",129,62553911380801640,6255,39,11,3,80801,"SS",4,3,"Castellano","Maestria/Doctorado","Mujer",3,40,1400,6255,39,11,3,80801,6,4,3,2,2,2,2,2,2
"130",130,62559311180801640,6255,93,11,1,80801,"SS",4,2,"Quechua","Secundaria completa","Hombre",4,53,750,6255,93,11,1,80801,6,4,2,2,2,2,2,2,2
"131",131,6303111181005671,6303,1,11,1,81005,"SS",7,1,"Quechua","Secundaria incompleta","Hombre",4,16,250,6303,1,11,1,81005,6,7,1,2,2,2,2,2,2
"132",132,6303111281005672,6303,1,11,2,81005,"SS",7,2,"Quechua","Primaria incompleta","Mujer",4,35,300,6303,1,11,2,81005,6,7,2,2,2,2,2,2,2
"133",133,6303111381005672,6303,1,11,3,81005,"SS",7,2,"Quechua","Secundaria incompleta","Hombre",4,24,150,6303,1,11,3,81005,6,7,2,2,2,2,2,2,2
"134",134,6303311381005673,6303,3,11,3,81005,"SS",7,3,"Quechua","Secundaria completa","Hombre",4,39,1200,6303,3,11,3,81005,6,7,3,2,2,2,2,2,2
"135",135,6303311481005674,6303,3,11,4,81005,"SS",7,4,"Castellano","Secundaria completa","Hombre",4,24,120,6303,3,11,4,81005,6,7,4,2,2,2,2,2,2
"136",136,63039111181005672,6303,91,11,1,81005,"SS",7,1,"Quechua","Secundaria incompleta","Hombre",4,44,1800,6303,91,11,1,81005,6,7,1,2,2,2,2,2,2
"137",137,63039111481005672,6303,91,11,4,81005,"SS",7,4,"Castellano","Secundaria incompleta","Mujer",4,24,100,6303,91,11,4,81005,6,7,4,2,2,2,2,2,2
"138",138,64013711390703576,6401,37,11,3,90703,"SC",7,3,"Castellano","Secundaria incompleta","Hombre",4,16,60,6401,37,11,3,90703,5,7,3,2,2,2,2,2,2
"139",139,652714112100102528,6527,14,11,2,100102,"SC",2,2,"Quechua","Maestria/Doctorado","Mujer",3,20,4200,6527,14,11,2,100102,5,2,2,2,2,2,2,2,2
"140",140,652714113100102528,6527,14,11,3,100102,"SC",2,3,"Castellano","Superior universitaria completa","Hombre",3,43,1300,6527,14,11,3,100102,5,2,3,2,2,2,2,2,2
"141",141,652792111100102528,6527,92,11,1,100102,"SC",2,1,"Lengua de señas peruanas","Secundaria completa","Mujer",6,77,200,6527,92,11,1,100102,5,2,1,2,2,2,2,2,2
"142",142,652792112100102528,6527,92,11,2,100102,"SC",2,2,"Castellano","Secundaria completa","Hombre",4,24,30,6527,92,11,2,100102,5,2,2,2,2,2,2,2,2
"143",143,656713111100207488,6567,13,11,1,100207,"SC",5,1,"Castellano","Secundaria incompleta","Hombre",4,45,600,6567,13,11,1,100207,5,5,1,2,2,2,2,2,2
"144",144,656722111100207488,6567,22,11,1,100207,"SC",5,1,"Castellano","Secundaria completa","Hombre",4,0,1800,6567,22,11,1,100207,5,5,1,2,2,2,2,2,2
"145",145,656730113100207488,6567,30,11,3,100207,"SC",5,1,"Castellano","Secundaria incompleta","Hombre",4,55,800,6567,30,11,3,100207,5,5,1,2,2,2,2,2,2
"146",146,656738112100207616,6567,38,11,2,100207,"SC",5,2,"Quechua","Sin nivel","Mujer",4,12,40,6567,38,11,2,100207,5,5,2,2,2,2,2,2,2
"147",147,656748112100207616,6567,48,11,2,100207,"SC",5,2,"Quechua","Sin nivel","Mujer",4,40,1470,6567,48,11,2,100207,5,5,2,2,2,2,2,2,2
"148",148,656771111100207616,6567,71,11,1,100207,"SC",5,2,"Castellano","Primaria completa","Hombre",4,37,900,6567,71,11,1,100207,5,5,2,2,2,2,2,2,2
"149",149,656771117100207616,6567,71,11,7,100207,"SC",5,7,"Castellano","Secundaria completa","Hombre",4,84,5,6567,71,11,7,100207,5,5,7,2,2,2,2,2,2
"150",150,6571160113100402688,6571,160,11,3,100402,"SC",7,3,"Quechua","Secundaria completa","Hombre",4,14,240,6571,160,11,3,100402,5,7,3,2,2,2,2,2,2
"151",151,6571176113100402688,6571,176,11,3,100402,"SC",7,3,"Quechua","Secundaria incompleta","Mujer",4,35,190,6571,176,11,3,100402,5,7,3,2,2,2,2,2,2
"152",152,668831111110106240,6688,31,11,1,110106,"CC",2,1,"Castellano","Superior no universitaria Incompleta","Hombre",4,45,350,6688,31,11,1,110106,2,2,1,2,2,2,2,2,2
"153",153,668845111110106240,6688,45,11,1,110106,"CC",2,1,"Castellano","Maestria/Doctorado","Mujer",6,48,930,6688,45,11,1,110106,2,2,1,2,2,2,2,2,2
